EducationLevel,Location,Method,Program,Term,URL,University
Diploma / certificate,"		Dudley, England
", On campus,Hospitality Management HND,1 year,https://www.educations.com/study-abroad/dudley-college/hospitality-management-hnd-897601,Dudley College
Foundation / Pathway program,"		London, England
", On campus,Hospitality Management with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-with-placement-964537,University of West London
Bachelor's degree,"		Brighton, England
", On campus,International Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-927627,University of Brighton
Bachelor's degree,"		Brighton, England
", On campus,International Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-927642,University of Brighton
Foundation / Pathway program,"		Leeds, England
", On campus,Leadership and Management (Hospitality),2 years,https://www.educations.com/study-abroad/leeds-city-college/leadership-and-management-hospitality-899400,Leeds City College
Foundation / Pathway program,"		Leeds, England
", On campus,Leadership and Management (Hospitality),2 years,https://www.educations.com/study-abroad/leeds-city-college/leadership-and-management-hospitality-899401,Leeds City College
Bachelor's degree,"		Huddersfield, England
", On campus,Hospitality Business Management,4 years,https://www.educations.com/study-abroad/university-of-huddersfield/hospitality-business-management-941285,University of Huddersfield
Diploma / certificate,"		Liverpool, England
", On campus,Hospitality Culinary Events Management,1 year,https://www.educations.com/study-abroad/city-of-liverpool-college/hospitality-culinary-events-management-894763,City of Liverpool College
Bachelor's degree,"		Sunderland, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-sunderland/events-management-956880,University of Sunderland
Bachelor's degree,"		Derbyshire, England
", On campus,BA (Hons) Professional Culinary Arts (top-up),1 year,https://www.educations.com/study-abroad/university-of-derby/ba-hons-professional-culinary-arts-top-up-1355874,University of Derby
Bachelor's degree,"		Ipswich, England
", On campus,BA (Hons) Event Management,,https://www.educations.com/study-abroad/university-of-suffolk/ba-hons-event-management-1253918,University of Suffolk
Bachelor's degree,"		Southampton, England
", On campus,BSc (Hons) Live Event Technology,3 years,https://www.educations.com/study-abroad/solent-university/bsc-hons-live-event-technology-1523959,Solent University
Bachelor's degree,"		London, England
", On campus,Events Management BA (Full-time),3 years,https://www.educations.com/study-abroad/london-metropolitan-university/events-management-ba-full-time-900430,London Metropolitan University
Bachelor's degree,"		Sunderland, England
", On campus,Events Management with Integrated Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-sunderland/events-management-with-integrated-foundation-year-956878,University of Sunderland
Diploma / certificate,"		Birmingham, England
", On campus,Chef Cookery Courses Level 2 and Level 3 (Professional Cookery),1 year,https://www.educations.com/study-abroad/university-college-birmingham/chef-cookery-courses-level-2-and-level-3-professional-cookery-1585774,University College Birmingham
Master's degree,"		Hatfield, England
", On campus,International Tourism and Hospitality Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-hertfordshire/international-tourism-and-hospitality-management-taught-940512,University of Hertfordshire
Bachelor's degree,"		King's Lynn, England
", On campus,Tourism Management,6 years,https://www.educations.com/study-abroad/college-of-west-anglia/tourism-management-890282,College of West Anglia
Bachelor's degree,"		King's Lynn, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/college-of-west-anglia/tourism-management-890283,College of West Anglia
Foundation / Pathway program,"		Weston-super-Mare, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/university-centre-weston/tourism-management-921469,University Centre Weston
Foundation / Pathway program,"		Weston-super-Mare, England
", On campus,Tourism Management,2 years,https://www.educations.com/study-abroad/university-centre-weston/tourism-management-921470,University Centre Weston
Bachelor's degree,"		Bedford, England
", On campus,Travel and Tourism with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/travel-and-tourism-with-foundation-year-926092,University of Bedfordshire
Bachelor's degree,"		Cambridge (England), England
", On campus,Tourism Management (with Placement Year),4 years,https://www.educations.com/study-abroad/anglia-ruskin-university/tourism-management-with-placement-year-889027,Anglia Ruskin University
Master's degree,"		London, England
", On campus,"Tourism, Environment & Development (Taught)",1 year,https://www.educations.com/study-abroad/kings-college-london/tourism-environment-development-taught-901753,King's College London
Master's degree,"		London, England
", On campus,"Tourism, Environment & Development (Taught)",2 years,https://www.educations.com/study-abroad/kings-college-london/tourism-environment-development-taught-901752,King's College London
Diploma / certificate,"		Dudley, England
", On campus,Travel and Tourism Management HND,1 year,https://www.educations.com/study-abroad/dudley-college/travel-and-tourism-management-hnd-897604,Dudley College
Diploma / certificate,"		Bedford, England
", On campus,Travel and Tourism Management - Bedford,1 year,https://www.educations.com/study-abroad/bedford-college-group/travel-and-tourism-management-bedford-891919,Bedford College Group
Bachelor's degree,"		London, England
", On campus,Tourism and Events Management,3 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-and-events-management-961060,University of Westminster
Bachelor's degree,"		York, England
", On campus,Tourism and Events Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-and-events-management-960401,York St John University
Graduate diploma / certificate,"		Leeds, England
", On campus,Responsible Tourism Management (Taught),30 weeks,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907301,Leeds Beckett University
Graduate diploma / certificate,"		Leeds, England
", On campus,Responsible Tourism Management (Taught),90 weeks,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907302,Leeds Beckett University
Master's degree,"		Leeds, England
", Online / Distance,Responsible Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907460,Leeds Beckett University
Master's degree,"		Leeds, England
", On campus,Responsible Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907299,Leeds Beckett University
Master's degree,"		Leeds, England
", On campus,Responsible Tourism Management (Taught),3 years,https://www.educations.com/study-abroad/leeds-beckett-university/responsible-tourism-management-taught-907300,Leeds Beckett University
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Human Resource Management,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-human-resource-management-945572,University of Northampton
Master's degree,"		Sheffield, England
", On campus,International Hospitality Management (Taught),15 months,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-management-taught-919789,Sheffield Hallam University
Bachelor's degree,"		Preston, England
", On campus,International Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-management-929526,University of Central Lancashire
Bachelor's degree,"		Plymouth, England
", On campus,International Hospitality Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/international-hospitality-management-951423,University of Plymouth
Master's degree,"		Oxford, England
", On campus,International Events Marketing (Taught),1 year,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-marketing-taught-911535,Oxford Brookes University
Master's degree,"		London, England
", On campus,Hospitality (Research),1 year,https://www.educations.com/study-abroad/university-of-west-london/hospitality-research-964498,University of West London
Master's degree,"		London, England
", On campus,Hospitality (Research),3 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-research-964497,University of West London
Bachelor's degree,"		London, England
", On campus,Hospitality Management and Food Studies with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/hospitality-management-and-food-studies-with-foundation-year-964541,University of West London
Bachelor's degree,"		Oxford, England
", On campus,International Hospitality Management (4 years) (SW),4 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-hospitality-management-4-years-sw-911194,Oxford Brookes University
Diploma / certificate,"		Walsall, England
", On campus,Hospitality Management HND (TOP-UP),1 year,https://www.educations.com/study-abroad/walsall-college/hospitality-management-hnd-top-up-964338,Walsall College
Foundation / Pathway program,"		Nottingham, England
", On campus,"Hospitality Management (Hotels, Resorts and Restaurants)",2 years,https://www.educations.com/study-abroad/nottingham-college/hospitality-management-hotels-resorts-and-restaurants-910199,Nottingham College
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Film & Screen Studies,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-film-screen-studies-945568,University of Northampton
Bachelor's degree,"		Hatfield, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-hertfordshire/event-management-941073,University of Hertfordshire
Bachelor's degree,"		Hatfield, England
", On campus,"Event Management with Eastern Language (Japanese, Mandarin)",4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/event-management-with-eastern-language-japanese-mandarin-941075,University of Hertfordshire
Foundation / Pathway program,"		Colchester, England
", On campus,Events Management with Hospitality,16 months,https://www.educations.com/study-abroad/edge-hotel-school/events-management-with-hospitality-900772,Edge Hotel School
Foundation / Pathway program,"		London, England
", On campus,Event Management with Hospitality,2 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-hospitality-964759,University of West London
Bachelor's degree,"		Colchester, England
", On campus,Events Management with Hospitality,2 years,https://www.educations.com/study-abroad/edge-hotel-school/events-management-with-hospitality-900773,Edge Hotel School
Master's degree,"		Preston, England
", On campus,International Hospitality and Event Management,2 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-and-event-management-938351,University of Central Lancashire
Master's degree,"		Preston, England
", On campus,International Hospitality and Event Management,1 year,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-and-event-management-938355,University of Central Lancashire
Bachelor's degree,"		London, England
", On campus,Event Management with Hospitality,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-hospitality-964758,University of West London
Bachelor's degree,"		York, England
", On campus,Events and International Hospitality Management,3 years,https://www.educations.com/study-abroad/york-st-john-university/events-and-international-hospitality-management-960500,York St John University
Bachelor's degree,"		Lincoln, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-lincoln/international-tourism-management-947833,University of Lincoln
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-945576,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-945590,University of Northampton
Master's degree,"		London, England
", On campus,Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-westminster/tourism-management-taught-961071,University of Westminster
Master's degree,"		Bedford, England
", On campus,Events Management,1 year,https://www.educations.com/study-abroad/university-of-bedfordshire/events-management-935931,University of Bedfordshire
Bachelor's degree,"		Bedford, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/event-management-926311,University of Bedfordshire
Bachelor's degree,"		Sheffield, England
", On campus,International Hotel Management,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hotel-management-919698,Sheffield Hallam University
Foundation / Pathway program,"		Skipton, England
", On campus,Travel Operations Management FD,2 years,https://www.educations.com/study-abroad/craven-college/travel-operations-management-fd-890349,Craven College
Bachelor's degree,"		London, England
", On campus,Events Management (Extended),5 years,https://www.educations.com/study-abroad/university-of-greenwich/events-management-extended-940158,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Events Management (Extended),4 years,https://www.educations.com/study-abroad/university-of-greenwich/events-management-extended-940157,University of Greenwich
Master's degree,"		London, England
", On campus,International Hospitality and Event Management (Taught),1 year,https://www.educations.com/study-abroad/middlesex-university/international-hospitality-and-event-management-taught-909530,Middlesex University London
Foundation / Pathway program,"		Grimsby, England
", On campus,Events Management,2 years,https://www.educations.com/study-abroad/university-centre-grimsby/events-management-919216,University Centre Grimsby
Master's degree,"		London, England
", Online / Distance,Tourism (Research),2 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-research-961261,University of Westminster
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-tourism-management-929244,University of Chichester
Bachelor's degree,"		Chichester, England
", On campus,Event Management and Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-chichester/event-management-and-tourism-management-929190,University of Chichester
Bachelor's degree,"		Bedford, England
", On campus,"Travel, Aviation and Tourism Management",3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/travel-aviation-and-tourism-management-926093,University of Bedfordshire
Master's degree,"		London, England
", On campus,International Tourism and Aviation Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-west-london/international-tourism-and-aviation-management-taught-964534,University of West London
Foundation / Pathway program,"		Durham, England
", On campus,Cultural & Heritage Tourism,2 years,https://www.educations.com/study-abroad/new-college-durham/cultural-heritage-tourism-909566,New College Durham
Foundation / Pathway program,"		Skipton, England
", On campus,Hospitality Business Management FD,2 years,https://www.educations.com/study-abroad/craven-college/hospitality-business-management-fd-890350,Craven College
Bachelor's degree,"		London, England
", On campus,Hospitality Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-east-london/hospitality-management-with-foundation-year-924663,University of East London
Bachelor's degree,"		Huddersfield, England
", On campus,Hospitality Business Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-of-huddersfield/hospitality-business-management-top-up-941286,University of Huddersfield
Bachelor's degree,"		Leeds, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-tourism-management-907304,Leeds Beckett University
Diploma / certificate,"		London, England
", On campus,Travel and Tourism Management,1 year,https://www.educations.com/study-abroad/kingston-college/travel-and-tourism-management-901524,Kingston College
Master's degree,"		London, England
", On campus,International Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-greenwich/international-tourism-management-taught-939856,University of Greenwich
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management with Tourism (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-with-tourism-top-up-920163,Sheffield Hallam University
Bachelor's degree,"		London, England
", On campus,International Tourism Management with Foundation Year,4 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-with-foundation-year-909178,Middlesex University London
Bachelor's degree,"		Preston, England
", On campus,International Hospitality Management (Foundation Entry),4 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-management-foundation-entry-929527,University of Central Lancashire
Bachelor's degree,"		Preston, England
", On campus,International Hospitality Management (Foundation Entry),5 years,https://www.educations.com/study-abroad/university-of-central-lancashire/international-hospitality-management-foundation-entry-929528,University of Central Lancashire
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Business,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-business-945560,University of Northampton
Bachelor's degree,"		London, England
", On campus,International Tourism Management (Mandarin) with Foundation Year,5 years,https://www.educations.com/study-abroad/middlesex-university/international-tourism-management-mandarin-with-foundation-year-909183,Middlesex University London
Diploma / certificate,"		Northumberland, England
", On campus,Hospitality Management,1 year,https://www.educations.com/study-abroad/northumberland-college/hospitality-management-909693,Northumberland College
Foundation / Pathway program,"		Liverpool, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/hugh-baird-college/hospitality-management-904130,Hugh Baird College
Foundation / Pathway program,"		Croydon, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/fairfield-school-of-business/hospitality-management-902159,Fairfield School of Business
Bachelor's degree,"		Canterbury, England
", On campus,Tourism Management including International Foundation Year (EU only),4 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/tourism-management-including-international-foundation-year-eu-only-896699,Canterbury Christ Church University
Diploma / certificate,"		Dudley, England
", On campus,Hospitality Management HNC,1 year,https://www.educations.com/study-abroad/dudley-college/hospitality-management-hnc-897600,Dudley College
Bachelor's degree,"		Chester, England
", On campus,International Tourism Management (including Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-chester/international-tourism-management-including-foundation-year-934064,University of Chester
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management (with Foundation Study),4 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-with-foundation-study-945575,University of Northampton
Master's degree,"		Hatfield, England
", On campus,"Hospitality, Leisure, Tourism and Transport (Research)",2 years,https://www.educations.com/study-abroad/university-of-hertfordshire/hospitality-leisure-tourism-and-transport-research-940510,University of Hertfordshire
Bachelor's degree,"		York, England
", On campus,Tourism Management and Marketing,3 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-and-marketing-960394,York St John University
Bachelor's degree,"		York, England
", On campus,Tourism Management and Spanish,3 years,https://www.educations.com/study-abroad/york-st-john-university/tourism-management-and-spanish-960391,York St John University
Bachelor's degree,"		Norwich, England
", On campus,"Hospitality, Tourism and Events Management (Top-up)",1 year,https://www.educations.com/study-abroad/city-college-norwich/hospitality-tourism-and-events-management-top-up-890223,City College Norwich
Diploma / certificate,"		Nuneaton, England
", On campus,Travel & Tourism Management HND (Top Up),1 year,https://www.educations.com/study-abroad/north-warwickshire-and-south-leicestershire-college/travel-tourism-management-hnd-top-up-909717,North Warwickshire and South Leicestershire College
Bachelor's degree,"		London, England
", On campus,Travel and Tourism (Accelerated with Foundation Year),32 months,https://www.educations.com/study-abroad/gsm-london/travel-and-tourism-accelerated-with-foundation-year-906500,GSM London
Bachelor's degree,"		Birmingham, England
", On campus,Food Science and Culinary Innovation BSc (Hons) / FdSc,,https://www.educations.com/study-abroad/university-college-birmingham/food-science-and-culinary-innovation-bsc-hons-fdsc-1488753,University College Birmingham
Bachelor's degree,"		Birmingham, England
", On campus,Bakery and Patisserie Technology BSc (Hons) / FdSc,3 years,https://www.educations.com/study-abroad/university-college-birmingham/bakery-and-patisserie-technology-bsc-hons-fdsc-924394,University College Birmingham
Foundation / Pathway program,"		Blackpool, England
", On campus,Hospitality and Events Management,2 years,https://www.educations.com/study-abroad/blackpool-and-the-fylde-college/hospitality-and-events-management-897076,Blackpool and the Fylde College
Graduate diploma / certificate,"		Brighton, England
", On campus,International Hospitality Management,2 years,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-938167,University of Brighton
Graduate diploma / certificate,"		Brighton, England
", On campus,International Hospitality Management,1 year,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-938168,University of Brighton
Master's degree,"		Brighton, England
", On campus,International Hospitality Management,2 years,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-938169,University of Brighton
Master's degree,"		Brighton, England
", On campus,International Hospitality Management,1 year,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-938170,University of Brighton
Diploma / certificate,"		Chichester, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/chichester-college/hospitality-management-891176,Chichester College
Bachelor's degree,"		Leeds, England
", On campus,Hospitality Business Management,3 years,https://www.educations.com/study-abroad/leeds-beckett-university/hospitality-business-management-907308,Leeds Beckett University
Bachelor's degree,"		Leeds, England
", On campus,Hospitality Business Management,4 years,https://www.educations.com/study-abroad/leeds-beckett-university/hospitality-business-management-907309,Leeds Beckett University
Foundation / Pathway program,"		London, England
", On campus,Tourism and Events Management,2 years,https://www.educations.com/study-abroad/westminster-kingsway-college/tourism-and-events-management-963232,Westminster Kingsway College
Diploma / certificate,"		Watford, England
", On campus,Higher National Diploma (HND) International Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/west-herts-college/higher-national-diploma-hnd-international-travel-and-tourism-management-961806,West Herts College
Bachelor's degree,"		Grimsby, England
", On campus,Tourism and Business Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-centre-grimsby/tourism-and-business-management-top-up-919200,University Centre Grimsby
Bachelor's degree,"		London, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-greenwich/hospitality-management-939880,University of Greenwich
Bachelor's degree,"		Plymouth, England
", On campus,International Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/international-hospitality-management-951424,University of Plymouth
Bachelor's degree,"		York, England
", On campus,International Hospitality Management (with Placement Year),4 years,https://www.educations.com/study-abroad/york-st-john-university/international-hospitality-management-with-placement-year-960405,York St John University
Bachelor's degree,"		Northampton, England
", On campus,International Hospitality Management (top-up),1 year,https://www.educations.com/study-abroad/university-of-northampton/international-hospitality-management-top-up-945587,University of Northampton
Bachelor's degree,"		Brighton, England
", On campus,International Hospitality Management (Top-Up),1 year,https://www.educations.com/study-abroad/university-of-brighton/international-hospitality-management-top-up-927632,University of Brighton
Master's degree,"		Oxford, England
", On campus,International Events Marketing (Taught),17 months,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-marketing-taught-911536,Oxford Brookes University
Bachelor's degree,"		Plymouth, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/events-management-951599,University of Plymouth
Bachelor's degree,"		Plymouth, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/events-management-951600,University of Plymouth
Foundation / Pathway program,"		Cornwall, England
", On campus,Event Management,2 years,https://www.educations.com/study-abroad/cornwall-college/event-management-890678,Cornwall College
Master's degree,"		Preston, England
", On campus,International Festivals & Event Management,1 year,https://www.educations.com/study-abroad/university-of-central-lancashire/international-festivals-event-management-938327,University of Central Lancashire
Diploma / certificate,"		Kendal, England
", On campus,Hospitality Management,2 years,https://www.educations.com/study-abroad/kendal-college/hospitality-management-904204,Kendal College
Bachelor's degree,"		Hatfield, England
", On campus,"Event Management with European Language (French, German, Spanish)",3 years,https://www.educations.com/study-abroad/university-of-hertfordshire/event-management-with-european-language-french-german-spanish-941078,University of Hertfordshire
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-top-up-919819,Sheffield Hallam University
Bachelor's degree,"		Canterbury, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/event-management-897032,Canterbury Christ Church University
Bachelor's degree,"		Blackpool, England
", On campus,Hospitality and Events Management (Top up),1 year,https://www.educations.com/study-abroad/blackpool-and-the-fylde-college/hospitality-and-events-management-top-up-897077,Blackpool and the Fylde College
Bachelor's degree,"		London, England
", On campus,BA (Hons) International Hospitality Management (Top Up),2 years,https://www.educations.com/study-abroad/the-london-college/ba-hons-international-hospitality-management-top-up-918189,The London College
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management with Culinary Arts (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-with-culinary-arts-top-up-919788,Sheffield Hallam University
MBA,"		Sheffield, England
", On campus,MBA (Hospitality) (Taught),3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/mba-hospitality-taught-919665,Sheffield Hallam University
Bachelor's degree,"		Stoke on Trent, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/staffordshire-university/events-management-917068,Staffordshire University
Bachelor's degree,"		Stoke on Trent, England
", On campus,Events Management (with foundation year),4 years,https://www.educations.com/study-abroad/staffordshire-university/events-management-with-foundation-year-917067,Staffordshire University
Master's degree,"		London, England
", On campus,Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-management-taught-961090,University of Westminster
Graduate diploma / certificate,"		Brighton, England
", On campus,Tourism and International Development,1 year,https://www.educations.com/study-abroad/university-of-brighton/tourism-and-international-development-938171,University of Brighton
Graduate diploma / certificate,"		Brighton, England
", On campus,Tourism and International Development,2 years,https://www.educations.com/study-abroad/university-of-brighton/tourism-and-international-development-938172,University of Brighton
Master's degree,"		Exeter, England
", On campus,International Tourism Management,1 year,https://www.educations.com/study-abroad/university-of-exeter/international-tourism-management-937875,University of Exeter
Diploma / certificate,"		Lincoln, England
", On campus,Travel and Tourism Management,1 year,https://www.educations.com/study-abroad/lincoln-college/travel-and-tourism-management-904313,Lincoln College
Master's degree,"		Brighton, England
", On campus,Tourism and International Development,1 year,https://www.educations.com/study-abroad/university-of-brighton/tourism-and-international-development-938173,University of Brighton
Bachelor's degree,"		London, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-greenwich/events-management-940155,University of Greenwich
Bachelor's degree,"		London, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-greenwich/events-management-940156,University of Greenwich
Bachelor's degree,"		Derby, England
", Online / Distance,International Hospitality Business Management BA (Hons) Top-Up,,https://www.educations.com/study-abroad/university-of-derby-online/international-hospitality-business-management-ba-hons-top-up-606875,University of Derby Online Learning
Bachelor's degree,"		Leeds, England
", On campus,Leadership and Management (Hospitality) (Top Up),1 year,https://www.educations.com/study-abroad/leeds-city-college/leadership-and-management-hospitality-top-up-899414,Leeds City College
Master's degree,"		Dorset, England
", On campus,Hotel and Food Services Management (Taught),2 years,https://www.educations.com/study-abroad/bournemouth-university/hotel-and-food-services-management-taught-897332,Bournemouth University
Master's degree,"		Dorset, England
", On campus,Hotel and Food Services Management (Taught),2 years,https://www.educations.com/study-abroad/bournemouth-university/hotel-and-food-services-management-taught-897278,Bournemouth University
Master's degree,"		London, England
", On campus,International Tourism and Aviation Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-west-london/international-tourism-and-aviation-management-taught-964535,University of West London
Diploma / certificate,"		West Bromwich, England
", On campus,Travel and Tourism Management HNC,1 year,https://www.educations.com/study-abroad/sandwell-college-of-further-and-higher-education/travel-and-tourism-management-hnc-915838,Sandwell College of Further and Higher Education
Diploma / certificate,"		West Bromwich, England
", On campus,Travel and Tourism Management HND,2 years,https://www.educations.com/study-abroad/sandwell-college-of-further-and-higher-education/travel-and-tourism-management-hnd-915839,Sandwell College of Further and Higher Education
Bachelor's degree,"		Chester, England
", On campus,Events Management and International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-international-tourism-management-934389,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management and International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-international-tourism-management-934395,University of Chester
Bachelor's degree,"		Sheffield, England
", On campus,International Hospitality Business Management,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-business-management-919817,Sheffield Hallam University
Foundation / Pathway program,"		Nottingham, England
", On campus,Tourism Management (Aviation Management & Operations),2 years,https://www.educations.com/study-abroad/nottingham-college/tourism-management-aviation-management-operations-910200,Nottingham College
Bachelor's degree,"		Bedford, England
", On campus,International Tourism Management (Sandwich) with Foundation Year,5 years,https://www.educations.com/study-abroad/university-of-bedfordshire/international-tourism-management-sandwich-with-foundation-year-925992,University of Bedfordshire
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Advertising,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-advertising-945559,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Criminology,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-criminology-945563,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Economics,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-economics-945566,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/History,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-history-945570,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Accounting,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-accounting-945565,University of Northampton
Bachelor's degree,"		London, England
", On campus,Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-east-london/hospitality-management-924664,University of East London
Doctorate / PhD,"		Bedford, England
", On campus,Tourism (Research),6 years,https://www.educations.com/study-abroad/university-of-bedfordshire/tourism-research-925998,University of Bedfordshire
Doctorate / PhD,"		Bedford, England
", On campus,Tourism (Research),3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/tourism-research-925999,University of Bedfordshire
Master's degree,"		Bedford, England
", On campus,Tourism (Research),4 years,https://www.educations.com/study-abroad/university-of-bedfordshire/tourism-research-925996,University of Bedfordshire
Bachelor's degree,"		Northampton, England
", On campus,International Tourism Management/Creative Writing,3 years,https://www.educations.com/study-abroad/university-of-northampton/international-tourism-management-creative-writing-945562,University of Northampton
Diploma / certificate,"		Brighton, England
", On campus,Hospitality Management (Events),2 years,https://www.educations.com/study-abroad/greater-brighton-metropolitan-college/hospitality-management-events-901363,Greater Brighton Metropolitan College
